dataset,backend,backend_label,case_id,variant,variant_label,best_energy_eV,success,natural_failure,external_failure,energy_status,failure_reason,source,path
OCD-GMAE rep50,claude,Claude Sonnet 4.6,001,full,Full,-4.980229139328003,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,002,full,Full,-3.5041396617889404,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,003,full,Full,-3.1345107555389404,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,004,full,Full,-7.2280120849609375,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,005,full,Full,-6.2375946044921875,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,006,full,Full,-5.4569244384765625,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,007,full,Full,-11.654596328735352,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,008,full,Full,-4.546131134033203,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,009,full,Full,-5.017307281494141,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,010,full,Full,-10.075138092041016,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,011,full,Full,-3.2839298248291016,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,012,full,Full,-9.668636322021484,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,013,full,Full,-3.3456153869628906,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,014,full,Full,-7.570980072021484,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,015,full,Full,-10.643351554870605,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,016,full,Full,-14.549540519714355,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,017,full,Full,-8.466651916503906,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,018,full,Full,-2.113170623779297,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,019,full,Full,-3.493175506591797,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,020,full,Full,-2.7164688110351562,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,021,full,Full,-4.241325378417969,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,022,full,Full,-7.159950256347656,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,023,full,Full,-4.346961975097656,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,024,full,Full,-3.288808822631836,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,025,full,Full,-7.8810882568359375,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,026,full,Full,-19.925071716308594,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,027,full,Full,-7.707094192504883,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,028,full,Full,-7.268787384033203,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,029,full,Full,-2.739093780517578,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
OCD-GMAE rep50,claude,Claude Sonnet 4.6,030,full,Full,-4.292024612426758,True,False,False,valid,,original,research/results/analysis/pulled_snapshot_20260428/rep50_full_merged_qc.csv
