dataset,backend,variant,case_id,source,status,best_energy_eV,iterations,class_,external_failure,natural_failure,invalid_energy
OCD24,Claude Sonnet 4.6,full,001,extra14,success,-4.743168592453003,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,002,extra14,success,-7.2280120849609375,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,003,original-10,success,-11.654779434204102,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,004,original-10,success,-11.384456634521484,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,005,original-10,success,-10.643351554870605,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,006,extra14,success,-7.403881072998047,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,007,extra14,success,-10.732337951660156,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,008,extra14,success,-4.346961975097656,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,009,extra14,success,-8.870079040527344,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,010,extra14,success,-7.707094192504883,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,011,extra14,success,-4.284576416015625,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,012,original-10,success,-2.746053695678711,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,013,original-10,success,-9.319587707519531,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,014,extra14,success,-5.207887649536133,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,015,original-10,success,-1.351470947265625,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,016,original-10,success,-12.998695373535156,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,017,extra14,success,-5.363338470458984,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,018,extra14,success,-6.991722106933594,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,019,original-10,success,-3.5041396617889404,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,020,extra14,success,-6.2419586181640625,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,021,extra14,success,-3.6018409729003906,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,022,extra14,success,-3.3845176696777344,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,023,original-10,success,-14.549540519714355,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,full,024,original-10,success,-3.417623519897461,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,001,extra14,success,-4.743199110031128,2,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,002,extra14,success,-7.2280120849609375,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,003,original-10,success,-11.654779434204102,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,004,original-10,success,-11.384395599365234,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,005,original-10,success,-10.643351554870605,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,006,extra14,success,-7.403881072998047,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,007,extra14,success,-10.713722229003906,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,008,extra14,success,-4.346961975097656,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,009,extra14,success,-8.408592224121094,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,010,extra14,success,-7.707033157348633,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,011,extra14,success,-4.284423828125,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,012,original-10,success,-2.6935501098632812,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,013,original-10,success,-9.669624328613281,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,014,extra14,success,-5.222894668579102,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,015,original-10,success,-1.5704517364501953,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,016,original-10,success,-12.998695373535156,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,017,extra14,success,-5.363460540771484,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,018,extra14,success,-6.991722106933594,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,019,original-10,success,-3.3380630016326904,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,020,extra14,success,-6.2419586181640625,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,021,extra14,success,-3.6018409729003906,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,022,extra14,success,-3.3845176696777344,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,023,original-10,success,-14.549540519714355,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_slip,024,original-10,success,-3.715871810913086,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,001,extra14,success,-4.743168592453003,3,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,002,extra14,success,-7.2280120849609375,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,003,original-10,success,-11.654779434204102,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,004,original-10,success,-11.384395599365234,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,005,original-10,success,-10.643351554870605,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,006,extra14,success,-7.403881072998047,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,007,extra14,success,-10.710975646972656,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,008,extra14,success,-4.346961975097656,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,009,extra14,success,-8.992385864257812,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,010,extra14,success,-7.707094192504883,4,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,011,extra14,success,-4.284393310546875,5,valid_success,False,False,False
OCD24,Claude Sonnet 4.6,no_forbid,012,original-10,success,-2.746053695678711,5,valid_success,False,False,False
