canonical_dir,kind,variant,case_id,source_dir,source_case_dir
cmu20_gemini_ablation_v1,ablation,full,01,gemini_ablation_v1,gemini_ablation_v1/full/01
cmu20_gemini_ablation_v1,ablation,full,02,gemini_ablation_v1,gemini_ablation_v1/full/02
cmu20_gemini_ablation_v1,ablation,full,04,gemini_ablation_v1,gemini_ablation_v1/full/04
cmu20_gemini_ablation_v1,ablation,full,05,gemini_ablation_v1,gemini_ablation_v1/full/05
cmu20_gemini_ablation_v1,ablation,full,09,gemini_ablation_v1,gemini_ablation_v1/full/09
cmu20_gemini_ablation_v1,ablation,full,10,gemini_ablation_v1,gemini_ablation_v1/full/10
cmu20_gemini_ablation_v1,ablation,full,12,gemini_ablation_v1,gemini_ablation_v1/full/12
cmu20_gemini_ablation_v1,ablation,full,13,gemini_ablation_v1,gemini_ablation_v1/full/13
cmu20_gemini_ablation_v1,ablation,full,14,gemini_ablation_v1,gemini_ablation_v1/full/14
cmu20_gemini_ablation_v1,ablation,full,15,gemini_ablation_v1,gemini_ablation_v1/full/15
cmu20_gemini_ablation_v1,ablation,full,16,gemini_ablation_v1,gemini_ablation_v1/full/16
cmu20_gemini_ablation_v1,ablation,full,17,gemini_ablation_v1,gemini_ablation_v1/full/17
cmu20_gemini_ablation_v1,ablation,full,18,gemini_ablation_v1,gemini_ablation_v1/full/18
cmu20_gemini_ablation_v1,ablation,full,19,gemini_ablation_v1,gemini_ablation_v1/full/19
cmu20_gemini_ablation_v1,ablation,full,20,gemini_ablation_v1,gemini_ablation_v1/full/20
cmu20_gemini_ablation_v1,ablation,no_forbid,01,gemini_ablation_v1,gemini_ablation_v1/no_forbid/01
cmu20_gemini_ablation_v1,ablation,no_forbid,02,gemini_ablation_v1,gemini_ablation_v1/no_forbid/02
cmu20_gemini_ablation_v1,ablation,no_forbid,04,gemini_ablation_v1,gemini_ablation_v1/no_forbid/04
cmu20_gemini_ablation_v1,ablation,no_forbid,05,gemini_ablation_v1,gemini_ablation_v1/no_forbid/05
cmu20_gemini_ablation_v1,ablation,no_forbid,09,gemini_ablation_v1,gemini_ablation_v1/no_forbid/09
cmu20_gemini_ablation_v1,ablation,no_forbid,10,gemini_ablation_v1,gemini_ablation_v1/no_forbid/10
cmu20_gemini_ablation_v1,ablation,no_forbid,12,gemini_ablation_v1,gemini_ablation_v1/no_forbid/12
cmu20_gemini_ablation_v1,ablation,no_forbid,13,gemini_ablation_v1,gemini_ablation_v1/no_forbid/13
cmu20_gemini_ablation_v1,ablation,no_forbid,14,gemini_ablation_v1,gemini_ablation_v1/no_forbid/14
cmu20_gemini_ablation_v1,ablation,no_forbid,15,gemini_ablation_v1,gemini_ablation_v1/no_forbid/15
cmu20_gemini_ablation_v1,ablation,no_forbid,16,gemini_ablation_v1,gemini_ablation_v1/no_forbid/16
cmu20_gemini_ablation_v1,ablation,no_forbid,17,gemini_ablation_v1,gemini_ablation_v1/no_forbid/17
cmu20_gemini_ablation_v1,ablation,no_forbid,18,gemini_ablation_v1,gemini_ablation_v1/no_forbid/18
cmu20_gemini_ablation_v1,ablation,no_forbid,19,gemini_ablation_v1,gemini_ablation_v1/no_forbid/19
cmu20_gemini_ablation_v1,ablation,no_forbid,20,gemini_ablation_v1,gemini_ablation_v1/no_forbid/20
cmu20_gemini_ablation_v1,ablation,no_slip,01,gemini_ablation_v1,gemini_ablation_v1/no_slip/01
cmu20_gemini_ablation_v1,ablation,no_slip,02,gemini_ablation_v1,gemini_ablation_v1/no_slip/02
cmu20_gemini_ablation_v1,ablation,no_slip,04,gemini_ablation_v1,gemini_ablation_v1/no_slip/04
cmu20_gemini_ablation_v1,ablation,no_slip,05,gemini_ablation_v1,gemini_ablation_v1/no_slip/05
cmu20_gemini_ablation_v1,ablation,no_slip,09,gemini_ablation_v1,gemini_ablation_v1/no_slip/09
cmu20_gemini_ablation_v1,ablation,no_slip,10,gemini_ablation_v1,gemini_ablation_v1/no_slip/10
cmu20_gemini_ablation_v1,ablation,no_slip,12,gemini_ablation_v1,gemini_ablation_v1/no_slip/12
cmu20_gemini_ablation_v1,ablation,no_slip,13,gemini_ablation_v1,gemini_ablation_v1/no_slip/13
cmu20_gemini_ablation_v1,ablation,no_slip,14,gemini_ablation_v1,gemini_ablation_v1/no_slip/14
cmu20_gemini_ablation_v1,ablation,no_slip,15,gemini_ablation_v1,gemini_ablation_v1/no_slip/15
cmu20_gemini_ablation_v1,ablation,no_slip,16,gemini_ablation_v1,gemini_ablation_v1/no_slip/16
cmu20_gemini_ablation_v1,ablation,no_slip,17,gemini_ablation_v1,gemini_ablation_v1/no_slip/17
cmu20_gemini_ablation_v1,ablation,no_slip,18,gemini_ablation_v1,gemini_ablation_v1/no_slip/18
cmu20_gemini_ablation_v1,ablation,no_slip,19,gemini_ablation_v1,gemini_ablation_v1/no_slip/19
cmu20_gemini_ablation_v1,ablation,no_slip,20,gemini_ablation_v1,gemini_ablation_v1/no_slip/20
cmu20_gemini_ablation_v1,ablation,no_termination,01,gemini_ablation_v1,gemini_ablation_v1/no_termination/01
cmu20_gemini_ablation_v1,ablation,no_termination,02,gemini_ablation_v1,gemini_ablation_v1/no_termination/02
cmu20_gemini_ablation_v1,ablation,no_termination,04,gemini_ablation_v1,gemini_ablation_v1/no_termination/04
cmu20_gemini_ablation_v1,ablation,no_termination,05,gemini_ablation_v1,gemini_ablation_v1/no_termination/05
cmu20_gemini_ablation_v1,ablation,no_termination,09,gemini_ablation_v1,gemini_ablation_v1/no_termination/09
cmu20_gemini_ablation_v1,ablation,no_termination,10,gemini_ablation_v1,gemini_ablation_v1/no_termination/10
cmu20_gemini_ablation_v1,ablation,no_termination,12,gemini_ablation_v1,gemini_ablation_v1/no_termination/12
cmu20_gemini_ablation_v1,ablation,no_termination,13,gemini_ablation_v1,gemini_ablation_v1/no_termination/13
