dataset,case_id,backend,backend_label,variant,variant_label,natural_failure,external_failure,energy_status,failure_reason,formal_statistics_action
CMU20,06,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,08,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,06,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,08,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,06,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,06,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
CMU20,08,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,natural run failure,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,gpt,GPT-5.4,full,Full,True,False,missing_energy,failed,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,gemini,Gemini 2.5 Pro,full,Full,True,False,missing_energy,failed,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,grok,Grok-4,full,Full,True,False,missing_energy,failed,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,008,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,013,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,014,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,025,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,claude,Claude Sonnet 4.6,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,004,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,014,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,025,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,031,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,032,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,gpt,GPT-5.4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,004,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,008,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,025,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,036,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,038,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,041,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,gemini,Gemini 2.5 Pro,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,008,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,025,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,032,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD-GMAE rep50 Full vs 1-Shot,043,grok,Grok-4,single_shot,1-Shot,True,False,missing_energy,dissociation;chemical_slip,count_in_success_rate_exclude_from_energy_delta
OCD24,008,GPT-5.4,GPT-5.4,no_termination,w/o Term,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
OCD24,009,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
OCD24,011,Claude Sonnet 4.6,Claude Sonnet 4.6,single_shot,1-Shot,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
OCD24,002,GPT-5.4,GPT-5.4,single_shot,1-Shot,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
OCD24,009,GPT-5.4,GPT-5.4,single_shot,1-Shot,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
OCD24,011,GPT-5.4,GPT-5.4,single_shot,1-Shot,True,False,natural_failure,failed,count_in_success_rate_exclude_from_energy_delta
