backend,case_id,variant,best_energy,delta_vs_full,iterations,wasted_iterations,waste_ratio,success,slip_count,dissociation_count,tokens_used
gemini,01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,42814
gemini,02,full,-4.765958786010742,0.0,4,0,0.0,True,3,0,44718
gemini,09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,29079
gemini,14,full,-3.6166324615478516,0.0,5,0,0.0,True,4,0,40619
gemini,19,full,-3.8413848876953125,0.0,5,0,0.0,True,3,2,42154
gemini,01,no_slip,-3.6317179203033447,0.0,5,0,0.0,True,4,0,39060
gemini,02,no_slip,-4.765775680541992,0.00018310546875,5,0,0.0,True,5,0,44141
gemini,09,no_slip,-1.9739322662353516,0.0,3,0,0.0,True,1,0,29281
gemini,14,no_slip,-3.6166324615478516,0.0,5,0,0.0,True,3,0,38214
gemini,19,no_slip,-3.8413848876953125,0.0,5,0,0.0,True,3,2,47560
gemini,01,no_forbid,-3.6317179203033447,0.0,5,0,0.0,True,4,0,39753
gemini,02,no_forbid,-4.765714645385742,0.000244140625,5,0,0.0,True,5,0,47968
gemini,09,no_forbid,-1.9739322662353516,0.0,3,0,0.0,True,1,0,27953
gemini,14,no_forbid,-3.6166324615478516,0.0,5,0,0.0,True,2,0,39447
gemini,19,no_forbid,-4.042137145996094,-0.20075225830078125,5,0,0.0,True,5,1,41934
gemini,01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,40549
gemini,02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,45053
gemini,09,no_termination,-1.9739322662353516,0.0,4,0,0.0,True,1,0,170041
gemini,14,no_termination,-3.6166324615478516,0.0,5,0,0.0,True,3,0,39288
gemini,19,no_termination,-3.5939178466796875,0.247467041015625,5,0,0.0,True,4,1,44121
gemini,01,single_shot,-3.6311686038970947,0.00054931640625,1,0,0.0,True,0,0,7089
gemini,02,single_shot,-4.765958786010742,0.0,1,0,0.0,True,1,0,7415
gemini,09,single_shot,-1.8013858795166016,0.17254638671875,1,0,0.0,True,0,0,6021
gemini,14,single_shot,-3.6166324615478516,0.0,1,0,0.0,True,0,0,6226
gemini,19,single_shot,-3.1327438354492188,0.7086410522460938,1,0,0.0,True,0,0,7690
grok4,01,full,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35177
grok4,02,full,-4.765958786010742,0.0,5,0,0.0,True,4,0,38503
grok4,09,full,-1.9739322662353516,0.0,3,0,0.0,True,1,0,26737
grok4,14,full,-3.6166324615478516,0.0,5,0,0.0,True,3,0,34313
grok4,19,full,-4.044700622558594,0.0,3,0,0.0,True,3,0,21384
grok4,01,no_slip,-3.6317179203033447,0.0,5,0,0.0,True,4,0,33506
grok4,02,no_slip,-4.765958786010742,0.0,5,0,0.0,True,5,0,35712
grok4,09,no_slip,-1.9739322662353516,0.0,3,0,0.0,True,1,0,24763
grok4,14,no_slip,-3.6166324615478516,0.0,5,0,0.0,True,3,0,34151
grok4,19,no_slip,-3.5939178466796875,0.45078277587890625,5,0,0.0,True,4,1,36468
grok4,01,no_forbid,-3.6317179203033447,0.0,5,0,0.0,True,4,0,35214
grok4,02,no_forbid,-4.759977340698242,0.0059814453125,5,0,0.0,True,4,0,36406
grok4,09,no_forbid,-1.9739322662353516,0.0,3,0,0.0,True,1,0,27312
grok4,14,no_forbid,-3.6166324615478516,0.0,5,0,0.0,True,3,0,33042
grok4,19,no_forbid,-3.5939483642578125,0.45075225830078125,5,0,0.0,True,4,1,38418
grok4,01,no_termination,-3.6317179203033447,0.0,5,0,0.0,True,4,0,36283
grok4,02,no_termination,-4.765958786010742,0.0,5,0,0.0,True,4,0,37383
grok4,09,no_termination,-1.9739322662353516,0.0,3,0,0.0,True,1,0,44624
grok4,14,no_termination,-3.6166324615478516,0.0,5,0,0.0,True,3,0,33323
grok4,19,no_termination,-4.027214050292969,0.017486572265625,5,0,0.0,True,5,1,38921
grok4,01,single_shot,-3.6311686038970947,0.00054931640625,1,0,0.0,True,0,0,6419
grok4,02,single_shot,-4.150495529174805,0.6154632568359375,1,0,0.0,True,1,0,6507
grok4,09,single_shot,-1.9739322662353516,0.0,1,0,0.0,True,0,0,6511
grok4,14,single_shot,-3.2450809478759766,0.371551513671875,1,0,0.0,True,1,0,6732
grok4,19,single_shot,-3.5939178466796875,0.45078277587890625,1,0,0.0,True,1,0,6740
openai_gpt54,01,full,-3.627323865890503,0.0,4,0,0.0,True,3,0,28857
openai_gpt54,02,full,-4.769039154052734,0.0,5,0,0.0,True,4,0,28966
openai_gpt54,09,full,-1.9912567138671875,0.0,3,0,0.0,True,0,0,20047
openai_gpt54,14,full,-3.5911407470703125,0.0,5,0,0.0,True,3,0,27934
openai_gpt54,19,full,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29540
openai_gpt54,01,no_slip,-3.627323865890503,0.0,4,0,0.0,True,3,0,26372
openai_gpt54,02,no_slip,-4.764400482177734,0.004638671875,5,0,0.0,True,4,0,27222
openai_gpt54,09,no_slip,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19542
openai_gpt54,14,no_slip,-3.4312286376953125,0.159912109375,3,0,0.0,True,2,0,19575
openai_gpt54,19,no_slip,-4.099582672119141,-0.08705520629882812,5,0,0.0,True,5,0,27948
openai_gpt54,01,no_forbid,-3.627323865890503,0.0,4,0,0.0,True,3,0,29003
openai_gpt54,02,no_forbid,-4.769039154052734,0.0,5,0,0.0,True,4,0,29099
openai_gpt54,09,no_forbid,-1.9912567138671875,0.0,3,0,0.0,True,0,0,19956
openai_gpt54,14,no_forbid,-3.5911407470703125,0.0,5,0,0.0,True,3,0,26545
openai_gpt54,19,no_forbid,-4.148807525634766,-0.13628005981445312,5,0,0.0,True,4,0,29475
openai_gpt54,01,no_termination,-3.630131483078003,-0.0028076171875,5,0,0.0,True,4,0,27843
openai_gpt54,02,no_termination,-4.769039154052734,0.0,5,0,0.0,True,4,0,28286
openai_gpt54,09,no_termination,-1.9912567138671875,0.0,3,0,0.0,True,0,0,32056
openai_gpt54,14,no_termination,-3.5911407470703125,0.0,5,0,0.0,True,3,0,25347
openai_gpt54,19,no_termination,-4.0125274658203125,0.0,5,0,0.0,True,4,0,29145
openai_gpt54,01,single_shot,-3.557255506515503,0.070068359375,1,0,0.0,True,1,0,4278
openai_gpt54,02,single_shot,-4.342861175537109,0.426177978515625,1,0,0.0,True,1,0,4565
openai_gpt54,09,single_shot,-1.9912567138671875,0.0,1,0,0.0,True,0,0,4559
openai_gpt54,14,single_shot,-3.4312286376953125,0.159912109375,1,0,0.0,True,0,0,4205
openai_gpt54,19,single_shot,-4.0125274658203125,0.0,1,0,0.0,True,1,0,4601
