result_dir,data_layer,role,dataset,backend_slug,backend_display,exact_llm_models,llm_backends,transport_variants,frozen_config_refs,embedded_config_count,manifest_versions,manifest_paths,calculator_protocols,summary_file,summary_rows,observed_case_count,observed_variant_count,result_json_count,traj_count,paper_cited_policy,naming_flags,governance_note
research/results/adsorbagent_mace_gpt54,root_paper_source,paper_facing_adsorbagent_comparison,CMU20,adsorbagent,Adsorb-Agent,not_applicable_external_baseline,,,,0,,datasets/cmu20/cmu20_manifest.csv,Adsorb-Agent comparison source; see comparison_stats.json,comparison.csv,15,15,,0,,yes,backend_short_label,Root-level path is intentionally retained because README and paper-facing sources cite it.
research/results/canonical_raw/cmu20/anthropic_sonnet46_ablation,canonical_raw,ablation,CMU20,anthropic_sonnet46,Claude Sonnet 4.6,claude-sonnet-4-6,anthropic,anthropic-official-openai-compatible,research/agent_eval/configs/frozen_config_anthropic_sonnet46.json,90,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,100,20,5,90,180,yes,backend_short_label,Directory backend slug is resolved by exact_llm_models and frozen_config_refs.
research/results/canonical_raw/cmu20/controls/adsorbagent_single_config_gpt54_cmu20,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,,,research/agent_eval/configs/frozen_config_openai_gpt54.json,0,,datasets/cmu20/cmu20_manifest.csv,,summary.csv,20,20,0,0,14,yes,,"Active AA single-config control; CatalystAIgent-style raw files, not AdsMind result.json layout."
research/results/canonical_raw/cmu20/controls/mace_large_gpt54_cmu20_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,,datasets/cmu20/cmu20_manifest.csv,mace:model=large:device=cuda:precision=float64:dispersion=True:fmax=0.05,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/controls/multiseed_gpt54_cmu20_seed43_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/controls/multiseed_gpt54_cmu20_seed44_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/controls/multiseed_gpt54_cmu20_seed45_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/controls/multiseed_gpt54_cmu20_seed46_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/controls/multiseed_gpt54_cmu20_seed47_full,canonical_raw,active_control,CMU20,openai_gpt54,GPT-5.4,gpt-5.4-2026-03-05,openrouter,openai-official-chatcompletions,research/agent_eval/configs/frozen_config_openai_gpt54.json,20,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,20,20,1,20,40,yes,,
research/results/canonical_raw/cmu20/gemini_ablation,canonical_raw,ablation,CMU20,gemini,Gemini 2.5 Pro,gemini-2.5-pro; gemini-3.1-pro-preview,google_vertexai; openrouter,aihubmix-openai-compatible; vertex-ai-direct,research/agent_eval/configs/frozen_config.json; research/agent_eval/configs/frozen_config_gemini25pro_vertexai.json; research/agent_eval/configs/frozen_config_gemini25pro_openrouter.json,65,cmu_manifest,datasets/cmu20/cmu20_manifest.csv,mace:model=small:device=cpu:precision=float32:dispersion=False:fmax=0.1,ablation_summary.csv,100,20,5,90,130,yes,backend_short_label; mixed_model_ids,Directory backend slug is resolved by exact_llm_models and frozen_config_refs. Embedded config snapshots contain multiple model IDs; inspect per-case config.json before aggregating.
