case_id,variant,backend,source,best_energy,iterations,wasted_iterations,success,slip_count,dissociation_count,tokens_used,failure_class,raw_status,error,replaced_external_failure,full_energy,delta_vs_full_recomputed
003,full,GPT-5.4,locked10,-11.669610977172852,3,0,True,3,0,22371,success,success,,False,-11.669610977172852,0.0
004,full,GPT-5.4,locked10,-11.384456634521484,5,0,True,5,1,32637,success,success,,False,-11.384456634521484,0.0
023,full,GPT-5.4,locked10,-14.549540519714355,5,0,True,5,0,30664,success,success,,False,-14.549540519714355,0.0
024,full,GPT-5.4,locked10,-3.715871810913086,5,0,True,3,1,27419,success,success,,False,-3.715871810913086,0.0
005,full,GPT-5.4,locked10,-10.643351554870604,5,0,True,4,0,29393,success,success,,False,-10.643351554870604,0.0
019,full,GPT-5.4,locked10,-3.5041396617889404,5,0,True,4,0,29662,success,success,,False,-3.5041396617889404,0.0
015,full,GPT-5.4,locked10,-1.5510482788085938,4,1,True,1,0,28728,success,success,,False,-1.5510482788085938,0.0
013,full,GPT-5.4,locked10,-10.361473083496094,5,0,True,2,1,27139,success,success,,False,-10.361473083496094,0.0
012,full,GPT-5.4,locked10,-2.768667221069336,5,0,True,3,1,28609,success,success,,False,-2.768667221069336,0.0
016,full,GPT-5.4,locked10,-12.99872589111328,5,0,True,3,0,27991,success,success,,False,-12.99872589111328,0.0
003,no_slip,GPT-5.4,locked10,-11.654779434204102,4,0,True,4,0,26492,success,success,,False,-11.669610977172852,0.01483154296875
004,no_slip,GPT-5.4,locked10,-11.384395599365234,5,0,True,4,0,29214,success,success,,False,-11.384456634521484,6.103515625e-05
023,no_slip,GPT-5.4,locked10,-14.549540519714355,5,0,True,5,0,27123,success,success,,False,-14.549540519714355,0.0
024,no_slip,GPT-5.4,locked10,-3.715871810913086,5,0,True,2,0,26347,success,success,,False,-3.715871810913086,0.0
005,no_slip,GPT-5.4,locked10,-10.643351554870604,5,0,True,4,0,26536,success,success,,False,-10.643351554870604,0.0
019,no_slip,GPT-5.4,locked10,-3.3380630016326904,2,0,True,2,0,14637,success,success,,False,-3.5041396617889404,0.16607666015625
015,no_slip,GPT-5.4,locked10,-1.5380783081054688,4,1,True,1,0,27652,success,success,,False,-1.5510482788085938,0.012969970703125
013,no_slip,GPT-5.4,locked10,-10.258064270019531,5,0,True,2,1,26212,success,success,,False,-10.361473083496094,0.1034088134765625
012,no_slip,GPT-5.4,locked10,-2.693397521972656,5,0,True,2,1,25385,success,success,,False,-2.768667221069336,0.0752696990966796
016,no_slip,GPT-5.4,locked10,-12.998695373535156,3,0,True,2,0,20421,success,success,,False,-12.99872589111328,3.0517578125e-05
003,no_forbid,GPT-5.4,locked10,-11.654779434204102,3,0,True,3,0,22277,success,success,,False,-11.669610977172852,0.01483154296875
